"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",228833,78427,59,629,5277,
"Belgium",319212,335732,110,31966,16183,
"Bulgaria",19896,6112,1,173515,23495,
"Croatia",10784,8621,,54580,223,
"Cyprus",2541,1674,,210,,
"Czech Republic",43161,25782,29,129254,27816,
"Denmark",400876,130570,19,15,176,
"Estonia",8929,6025,37,10769,4975,1
"Finland",128039,170351,2,17,17826,
"France",1413014,743524,1274,302541,15125,
"Germany",1825234,998336,1755,312964,87918,
"Greece",22701,29497,,219743,6608,
"Hungary",84378,12665,10,23540,3176,
"Ireland",87236,51584,,511,182,
"Italy",322671,306170,58,2799020,1098376,
"Latvia",6802,1890,,49436,858,
"Lithuania",17141,12980,1,98239,1302,45
"Luxembourg",39727,20008,5,376,185,
"Malta",8037,4775,,2013,,
"Netherlands",621784,407308,667,125556,5054,9
"Poland",95321,74632,340,3701459,6422,
"Portugal",189075,141162,4,80481,300,
"Romania",53610,15666,,246607,342,
"Slovakia",17587,12236,,52898,4113,
"Slovenia",17536,3734,,12805,314,
"Spain",233535,256562,118,182415,22459,
"Sweden",394638,299464,46,15,41023,
