"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,0,0,0,3.27,1.08,
2010,0.01,0,0,3.87,0.69,
2011,0.07,0,0,2,0.47,
2012,0.13,0.08,0,2.97,0.67,
2013,0.22,0.23,0,2.01,0.97,
2014,0.32,0.21,0,2.02,0.96,
2015,0.45,0.58,0,1.95,0.73,
2016,0.47,0.51,0,1.79,0.49,
2017,0.67,0.64,0,1.95,0.38,
2018,1.04,0.8,0,1.24,0.51,
2019,1.86,1.05,0,1.3,0.51,
2020,5.38,5.13,0.01,1.48,0.55,
2021,8.99,8.91,0.01,1.89,0.41,
2022,12.05,9.51,0.01,2.75,0.2,
2023,14.57,7.7,0.01,2.87,0.12,
2024,13.62,7.19,0.01,2.9,0.1,
2025,15.65,8.51,0,2.72,0.01,
