"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,0,0,0,129906,115338,
2009,130,2,0,443640,145990,
2010,752,2,0,440622,78846,
2011,8014,329,0,225669,52942,
2012,12716,8025,0,297935,66930,
2013,21622,22575,17,196630,94714,
2014,32762,21245,31,207561,98772,
2015,50918,65825,135,219673,81762,
2016,56368,61699,141,216007,59112,
2017,85808,82191,154,250264,49317,
2018,135613,104720,186,162584,66237,
2019,247408,139984,479,172179,68436,
2020,535846,510149,743,147093,54724,
2021,873483,865752,917,183460,40244,
2022,1116654,881555,1279,255212,18455,
2023,1536178,812421,750,302221,12536,
2024,1449321,765330,916,308996,10413,
2025,852739,463380,65,148431,377,
