"Category","AC","DC"
"2020 Q1",121002,6168
"2020 Q2",132322,7385
"2020 Q3",140385,8356
"2020 Q4",156850,14773
"2021 Q1",176312,14474
"2021 Q2",192335,15809
"2021 Q3",262672,20961
"2021 Q4",275935,23211
"2022 Q1",294270,26076
"2022 Q2",327477,30187
"2022 Q3",355665,37033
"2022 Q4",403208,44637
"2023 Q1",444000,53887
"2023 Q2",483799,62306
"2023 Q3",521994,70959
"2023 Q4",550517,81737
"2024 Q1",597490,93933
"2024 Q2",658252,109672
"2024 Q3",675584,119557
"2024 Q4",743954,138058
"2025 Q1",782728,151015
"2025 Q2",825326,166018
"2025 Q3",,
"2025 Q4",,
